codigoint;codigoean;descricao;loja;embseparacao;ppcx;eicx;capcx;ltmix;secaoope;grupomerc
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;003;24;0,33;1,33;1,42;A;10;102
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;011;24;0,25;1,25;2,83;A;10;102
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;012;24;0,25;1,25;2,83;A;10;102
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;013;24;0,25;1,25;1,42;A;10;102
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;014;24;0,25;1,25;1,42;A;10;102
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;017;24;0,25;1,25;2,83;A;10;102
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;018;24;0,25;1,25;2,83;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;002;24;0,42;1,42;1,42;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;003;24;0,50;1,50;1,42;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;004;24;0,33;1,33;1,42;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;006;24;0,33;1,33;4,25;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;007;24;0,00;0,00;1,42;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;011;24;0,33;1,33;2,83;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;012;24;0,42;1,42;5,67;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;013;24;0,33;1,33;1,42;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;014;24;0,33;1,33;1,42;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;017;24;0,33;1,33;5,67;A;10;102
1019543;7891000397077;LEITE PO LT 350G NINHO ADULTO SEMI DESN;018;24;0,33;1,33;2,83;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;002;24;0,42;1,42;1,42;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;003;24;0,50;1,50;2,83;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;004;24;0,42;1,42;1,42;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;005;24;0,00;0,00;5,67;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;006;24;0,42;1,42;8,50;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;007;24;0,00;0,00;2,83;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;008;24;0,00;0,00;8,50;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;011;24;0,42;1,42;8,50;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;012;24;0,42;1,42;5,67;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;013;24;0,42;1,42;2,83;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;014;24;0,42;1,42;1,42;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;017;24;0,42;1,42;5,67;A;10;102
1006491;7891000325858;LEITE PO LT 380G NINHO INT FORT+;018;24;0,42;1,42;4,25;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;002;24;0,42;1,42;1,42;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;003;24;0,42;1,42;2,83;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;004;24;0,00;0,00;1,42;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;006;24;0,42;1,42;0,00;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;008;24;0,00;0,00;4,25;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;011;24;0,00;0,00;0,00;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;012;24;0,42;1,42;2,83;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;013;24;0,00;0,00;2,83;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;014;24;0,42;1,42;2,83;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;017;24;0,00;0,00;1,42;A;10;102
1022383;7891000393284;LEITE PO LT 380G NINHO INTEGRAL INST;018;24;0,42;1,42;2,83;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;002;24;0,42;1,42;1,42;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;003;24;0,50;1,50;4,25;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;004;24;0,33;1,33;1,42;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;005;24;0,00;0,00;4,25;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;006;24;0,33;1,33;5,67;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;007;24;0,00;0,00;1,42;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;008;24;0,00;0,00;9,92;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;011;24;0,42;1,42;5,67;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;012;24;0,33;1,33;2,83;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;013;24;0,33;1,33;4,25;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;014;24;0,33;1,33;1,42;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;017;24;0,33;1,33;5,67;A;10;102
1009383;7891000109908;LEITE PO LT 380G NINHO ZERO LACTOSE;018;24;0,33;1,33;2,83;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;002;12;0,67;1,67;2,83;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;003;12;0,83;1,83;8,50;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;006;12;0,00;0,00;5,67;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;011;12;0,67;1,67;11,33;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;012;12;0,67;1,67;11,33;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;013;12;0,00;0,00;0,00;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;014;12;0,67;1,67;2,83;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;017;12;0,83;1,83;5,67;A;10;102
4169;7891000065389;LEITE PO LT 400G NAN COMFORT 1;018;12;0,67;1,67;8,50;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;002;12;0,50;1,50;2,83;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;003;12;0,67;1,67;8,50;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;004;12;0,50;1,50;2,83;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;006;12;0,50;1,50;8,50;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;011;12;0,50;1,50;11,33;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;012;12;0,50;1,67;2,83;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;013;12;0,50;1,67;5,67;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;014;12;0,50;1,50;2,83;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;017;12;0,50;1,67;2,83;A;10;102
9927148;7891000056615;LEITE PO LT 400G NESTOGENO 2;018;12;0,50;1,67;8,50;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;002;12;0,50;1,50;2,83;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;003;12;0,50;1,67;8,50;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;004;12;0,00;0,00;2,83;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;006;12;0,50;1,50;11,33;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;011;12;0,00;0,00;0,00;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;012;12;0,50;1,67;2,83;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;013;12;0,00;0,00;0,00;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;014;12;0,50;1,50;2,83;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;017;12;0,00;0,00;5,67;A;10;102
9928268;7891000056523;LEITE PO LT 400G NESTOGENO I;018;12;0,50;1,67;8,50;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;002;24;0,42;1,42;1,42;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;003;24;0,50;1,50;5,67;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;006;24;0,42;1,42;8,50;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;011;24;0,42;1,42;5,67;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;012;24;0,42;1,42;2,83;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;013;24;0,42;1,42;2,83;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;014;24;0,42;1,42;1,42;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;017;24;0,42;1,42;2,83;A;10;102
97018;7891000001080;LEITE PO LT 400G NINHO CRESC.PRE;018;24;0,42;1,42;5,67;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;002;24;0,42;1,42;1,42;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;003;24;0,50;1,50;2,83;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;011;24;0,00;0,00;2,83;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;012;24;0,42;1,42;2,83;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;013;24;0,00;0,00;2,83;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;014;24;0,42;1,42;1,42;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;017;24;0,42;1,42;2,83;A;10;102
1008252;7891000101506;LEITE PO LT DESN 280G MOLICO CALCIO;018;24;0,42;1,42;2,83;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;002;10;1,50;2,50;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;003;10;2,00;3,00;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;004;10;1,50;2,50;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;005;10;1,50;2,50;1,30;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;006;10;1,50;2,50;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;007;10;1,00;2,00;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;011;10;1,00;2,00;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;012;10;1,50;2,50;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;013;10;1,50;2,50;3,90;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;014;10;1,50;2,50;1,30;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;017;10;1,50;2,50;2,60;A;10;102
1010875;7898929966216;LEITE PO SH 1000G INT CCGL;018;10;1,50;2,50;2,60;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;002;50;0,60;1,60;0,68;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;003;50;0,60;1,60;0,34;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;004;50;0,50;1,50;0,68;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;005;50;0,50;1,50;1,36;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;006;50;0,50;1,50;0,68;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;007;50;0,50;1,50;0,68;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;008;50;0,40;1,40;1,02;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;011;50;0,60;1,60;0,68;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;012;50;0,60;1,60;1,02;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;013;50;0,50;1,50;1,36;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;014;50;0,60;1,60;0,68;A;10;102
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;017;50;0,50;1,50;1,02;A;10;102
